Date,LogReturnsRolling
2012-02-26 00:00:00,0.0
2012-03-04 00:00:00,0.0
2012-03-11 00:00:00,0.0
2012-03-18 00:00:00,0.0
2012-03-25 00:00:00,0.0
2012-04-01 00:00:00,0.0
2012-04-08 00:00:00,0.0
2012-04-15 00:00:00,0.0
2012-04-22 00:00:00,0.0
2012-04-29 00:00:00,0.0
2012-05-06 00:00:00,0.0
2012-05-13 00:00:00,0.0
2012-05-20 00:00:00,0.0
2012-05-27 00:00:00,0.0
2012-06-03 00:00:00,0.0
2012-06-10 00:00:00,0.0
2012-06-17 00:00:00,0.0
2012-06-24 00:00:00,0.0
2012-07-01 00:00:00,0.0
2012-07-08 00:00:00,0.0
2012-07-15 00:00:00,0.0
2012-07-22 00:00:00,0.0
2012-07-29 00:00:00,0.0
2012-08-05 00:00:00,0.0
2012-08-12 00:00:00,0.0
2012-08-19 00:00:00,0.0
2012-08-26 00:00:00,0.0
2012-09-02 00:00:00,0.0
2012-09-09 00:00:00,0.0
2012-09-16 00:00:00,0.0
2012-09-23 00:00:00,0.0
2012-09-30 00:00:00,0.0
2012-10-07 00:00:00,0.0
2012-10-14 00:00:00,0.0
2012-10-21 00:00:00,0.0
2012-10-28 00:00:00,0.0
2012-11-04 00:00:00,0.0
2012-11-11 00:00:00,0.0
2012-11-18 00:00:00,0.0
2012-11-25 00:00:00,0.0
2012-12-02 00:00:00,0.0
2012-12-09 00:00:00,0.0
2012-12-16 00:00:00,0.0
2012-12-23 00:00:00,0.0
2012-12-30 00:00:00,0.0
2013-01-06 00:00:00,0.0
2013-01-13 00:00:00,0.0
2013-01-20 00:00:00,0.0
2013-01-27 00:00:00,0.0
2013-02-03 00:00:00,0.0
2013-02-10 00:00:00,0.0
2013-02-17 00:00:00,0.0
2013-02-24 00:00:00,0.0
2013-03-03 00:00:00,0.0
2013-03-10 00:00:00,0.0
2013-03-17 00:00:00,0.0
2013-03-24 00:00:00,0.0
2013-03-31 00:00:00,0.0
2013-04-07 00:00:00,0.0
2013-04-14 00:00:00,0.0
2013-04-21 00:00:00,0.0
2013-04-28 00:00:00,0.0
2013-05-05 00:00:00,0.0
2013-05-12 00:00:00,0.0
2013-05-19 00:00:00,0.0
2013-05-26 00:00:00,0.0
2013-06-02 00:00:00,0.0
2013-06-09 00:00:00,0.0
2013-06-16 00:00:00,0.0
2013-06-23 00:00:00,0.0
2013-06-30 00:00:00,0.0
2013-07-07 00:00:00,0.0
2013-07-14 00:00:00,0.0
2013-07-21 00:00:00,0.0
2013-07-28 00:00:00,0.0
2013-08-04 00:00:00,0.0
2013-08-11 00:00:00,0.0
2013-08-18 00:00:00,0.0
2013-08-25 00:00:00,0.0
2013-09-01 00:00:00,0.0
2013-09-08 00:00:00,0.0
2013-09-15 00:00:00,0.0
2013-09-22 00:00:00,0.0
2013-09-29 00:00:00,0.0
2013-10-06 00:00:00,0.0
2013-10-13 00:00:00,0.0
2013-10-20 00:00:00,0.0
2013-10-27 00:00:00,0.0
2013-11-03 00:00:00,0.0
2013-11-10 00:00:00,0.0
2013-11-17 00:00:00,0.0
2013-11-24 00:00:00,0.0
2013-12-01 00:00:00,0.0
2013-12-08 00:00:00,0.0
2013-12-15 00:00:00,0.0
2013-12-22 00:00:00,0.0
2013-12-29 00:00:00,0.0
2014-01-05 00:00:00,0.0
2014-01-12 00:00:00,0.0
2014-01-19 00:00:00,0.0
2014-01-26 00:00:00,0.0
2014-02-02 00:00:00,0.0
2014-02-09 00:00:00,0.0
2014-02-16 00:00:00,0.0
2014-02-23 00:00:00,0.0
2014-03-02 00:00:00,0.0
2014-03-09 00:00:00,-2.253596634572064e-06
2014-03-16 00:00:00,-6.8769321350388385e-06
2014-03-23 00:00:00,-4.562594785485722e-06
2014-03-30 00:00:00,-5.943507263083824e-06
2014-04-06 00:00:00,-3.062650137823603e-06
2014-04-13 00:00:00,-5.8901717904387016e-06
2014-04-20 00:00:00,-7.687873434676235e-06
2014-04-27 00:00:00,-6.4164158912271575e-06
2014-05-04 00:00:00,-2.7776706270947855e-06
2014-05-11 00:00:00,-2.16772049404557e-06
2014-05-18 00:00:00,-5.7685332236915235e-06
2014-05-25 00:00:00,-4.487588563571485e-06
2014-06-01 00:00:00,-5.493772849565641e-06
2014-06-08 00:00:00,6.1152041790686736e-06
2014-06-15 00:00:00,-8.112447934665948e-06
2014-06-22 00:00:00,-2.587088123471161e-06
2014-06-29 00:00:00,-5.902949066300301e-06
2014-07-06 00:00:00,-6.6296806292297934e-06
2014-07-13 00:00:00,-4.8335678532054105e-06
2014-07-20 00:00:00,-5.302998464026409e-06
2014-07-27 00:00:00,-8.279722957701546e-06
2014-08-03 00:00:00,-7.618805035540413e-06
2014-08-10 00:00:00,-8.021954183672077e-06
2014-08-17 00:00:00,-3.4114131031891592e-06
2014-08-24 00:00:00,-6.036364960270231e-06
2014-08-31 00:00:00,-5.589957678801929e-06
2014-09-07 00:00:00,-7.0995503597310815e-06
2014-09-14 00:00:00,-6.871323298390474e-06
2014-09-21 00:00:00,-1.7758135806529635e-07
2014-09-28 00:00:00,1.5836118778253182e-06
2014-10-05 00:00:00,-2.221318572847901e-06
2014-10-12 00:00:00,1.6591435190923284e-06
2014-10-19 00:00:00,-5.500153013062642e-06
2014-10-26 00:00:00,-3.2205517388556907e-06
2014-11-02 00:00:00,-4.9038756770171934e-06
2014-11-09 00:00:00,-6.830603999602384e-06
2014-11-16 00:00:00,-4.274435507461528e-06
2014-11-23 00:00:00,-6.632866298988545e-06
2014-11-30 00:00:00,-3.7535408270944862e-06
2014-12-07 00:00:00,-9.581308885586492e-07
2014-12-14 00:00:00,-2.3063652140410848e-06
2014-12-21 00:00:00,-7.418683965412486e-06
2014-12-28 00:00:00,-6.96379917134451e-06
2015-01-04 00:00:00,-9.621969670611909e-06
2015-01-11 00:00:00,-3.056100391801707e-06
2015-01-18 00:00:00,-5.434820812481022e-06
2015-01-25 00:00:00,-2.9208042722895293e-06
2015-02-01 00:00:00,-5.914887453844685e-06
2015-02-08 00:00:00,-9.01268402791183e-06
2015-02-15 00:00:00,-8.798155677620757e-06
2015-02-22 00:00:00,1.2885006147565283e-06
2015-03-01 00:00:00,-7.556797626458583e-06
2015-03-08 00:00:00,-5.118123991672113e-06
2015-03-15 00:00:00,-9.789372309520645e-06
2015-03-22 00:00:00,-5.943320720304127e-06
2015-03-29 00:00:00,-7.891793130126226e-06
2015-04-05 00:00:00,-6.167040122937201e-06
2015-04-12 00:00:00,-4.965347961752365e-06
2015-04-19 00:00:00,-1.209405457020528e-05
2015-04-26 00:00:00,-8.533479083404256e-06
2015-05-03 00:00:00,-4.7775303271912135e-06
2015-05-10 00:00:00,-8.941344315291959e-06
2015-05-17 00:00:00,-1.1408509127135357e-05
2015-05-24 00:00:00,-6.692313196889724e-06
2015-05-31 00:00:00,-6.456843774472668e-06
2015-06-07 00:00:00,-1.2140333113081053e-05
2015-06-14 00:00:00,-6.192762091356076e-06
2015-06-21 00:00:00,-5.136643193208491e-06
2015-06-28 00:00:00,3.6836321225529976e-07
2015-07-05 00:00:00,-9.188478935317872e-06
2015-07-12 00:00:00,-4.552353111596696e-06
2015-07-19 00:00:00,-3.6050586495725496e-06
2015-07-26 00:00:00,-1.1118075570427914e-05
2015-08-02 00:00:00,-3.961938906918917e-06
2015-08-09 00:00:00,-6.076744612204401e-06
2015-08-16 00:00:00,-1.12733264579857e-05
2015-08-23 00:00:00,-2.468828604211115e-06
2015-08-30 00:00:00,-1.0565134391828791e-05
2015-09-06 00:00:00,-7.91202708698375e-06
2015-09-13 00:00:00,-6.483538964613908e-06
2015-09-20 00:00:00,-1.1668093175040909e-05
2015-09-27 00:00:00,-9.781696118995416e-06
2015-10-04 00:00:00,-3.750244878204756e-06
2015-10-11 00:00:00,-1.3828046713046326e-05
2015-10-18 00:00:00,-1.4304270821815585e-05
2015-10-25 00:00:00,-3.290823765353222e-06
2015-11-01 00:00:00,-2.375417014868001e-06
2015-11-08 00:00:00,-7.016425801779257e-06
2015-11-15 00:00:00,-1.166444038254636e-05
2015-11-22 00:00:00,-7.114684811071224e-06
2015-11-29 00:00:00,-6.834378165389773e-06
2015-12-06 00:00:00,-1.4376296523167245e-06
2015-12-13 00:00:00,-1.858605353320645e-06
2015-12-20 00:00:00,-7.059125718355815e-06
2015-12-27 00:00:00,-1.1112770592068506e-05
2016-01-03 00:00:00,-1.2963527428339407e-05
2016-01-10 00:00:00,-2.58978567775025e-06
2016-01-17 00:00:00,-2.2060902777073603e-06
2016-01-24 00:00:00,-1.679919388151841e-05
2016-01-31 00:00:00,-7.81347806855466e-06
2016-02-07 00:00:00,-4.915351981757316e-06
2016-02-14 00:00:00,-1.1260867869119293e-05
2016-02-21 00:00:00,-7.558510125109799e-06
2016-02-28 00:00:00,-6.5318362252474966e-06
2016-03-06 00:00:00,-6.494489140048312e-06
2016-03-13 00:00:00,-8.891365460253726e-06
2016-03-20 00:00:00,-2.7079866757573578e-06
2016-03-27 00:00:00,-1.029266722254424e-05
2016-04-03 00:00:00,-4.187686215599471e-06
