Date,Pnl,PnlwithCommissions
2014-03-14,0.4737482825085986,-4.97321470764753
2014-03-21,-1.0742263626628503,-7.100083331101866
2014-03-28,0.9284431721378859,-4.154227435080788
2014-04-04,-0.5022821176235805,-6.253741811317694
2014-04-11,2.435552738024738,-2.8689572530546807
2014-04-17,0.06006064787435339,-6.333789270462992
2014-04-25,-1.596200921383235,-7.504220866698247
2014-05-02,-0.7483036019509974,-6.153624709497308
2014-05-09,3.004976498695818,-3.0654546481938816
2014-05-16,3.1283762286653203,-1.3460422277245172
2014-05-23,-0.45444940430142106,-6.842990454702967
2014-05-30,1.5848804823342424,-4.118949377612807
2014-06-06,-0.4091462709221218,-4.767433226471722
2014-06-13,10.665069948519923,5.829999574332663
2014-06-20,-3.3183450970027684,-8.144075542100339
2014-06-27,1.5369954271743829,-1.7599016365071973
2014-07-03,-1.8575463833616106,-6.691694476155098
2014-07-11,-1.6889674224636098,-6.937752662657388
2014-07-18,0.43227524571368825,-4.730390877207801
2014-07-25,-0.8043224566293297,-4.431853146176715
2014-08-01,-4.363084426444882,-9.092392360137215
2014-08-08,-3.0823192360997886,-6.707272081634009
2014-08-15,-4.103854742325557,-8.80683274198178
2014-08-22,1.1299185378090009,-3.109588905752585
2014-08-29,-1.4858262822709625,-6.201197369756461
2014-09-05,-1.3847241021651275,-5.499079905961733
2014-09-12,-2.7240080596674225,-7.0957169995495635
2014-09-19,-1.968016034325637,-7.507780831417042
2014-09-26,5.735782442851715,-0.1906081249347089
2014-10-03,6.404633098933493,2.8252442957310704
2014-10-10,0.718022411251547,-1.935137034866527
2014-10-17,4.569097699258922,1.4827891476206414
2014-10-24,-2.9005145483003028,-5.433646574349863
2014-10-31,-0.16997375608086074,-3.420073867919403
2014-11-07,-1.6439943506529069,-5.068180371956009
2014-11-14,-3.4289882162166903,-6.967669080697478
2014-11-21,0.20311351452026855,-5.058093294858391
2014-11-28,-1.7019361910589783,-6.08079193431811
2014-12-05,0.4780945141617864,-3.776988317974193
2014-12-12,3.527593076501074,-0.9312791743522397
2014-12-19,2.1506113085841685,-2.2526371365563835
2014-12-26,-3.7720361591725493,-7.009267643333715
2015-01-02,-2.946845535109407,-7.613976329425811
