Date,GrossLeverage
2014-08-15 23:59:59.999989,1.130051847183702e-06
2014-08-22 23:59:59.999989,-1.4860105522514735e-06
2014-08-29 23:59:59.999989,-1.3849035751604334e-06
2014-09-05 23:59:59.999989,-2.7243804579484396e-06
2014-09-12 23:59:59.999989,-1.9682986059295282e-06
2014-09-19 23:59:59.999989,5.736607016413661e-06
2014-09-26 23:59:59.999989,6.405543682320464e-06
2014-10-03 23:59:59.999989,7.181260917638497e-07
2014-10-10 23:59:59.999989,4.569749883014785e-06
2014-10-17 23:59:59.999989,-2.9009445174716056e-06
2014-10-24 23:59:59.999989,-1.6999950028947706e-07
2014-10-31 23:59:59.999989,-1.6442514131971655e-06
2014-11-07 23:59:59.999989,-3.429547814371913e-06
2014-11-14 23:59:59.999989,2.0314753017578816e-07
2014-11-21 23:59:59.999989,-1.7022325074012112e-06
2014-11-28 23:59:59.999989,4.781795478254442e-07
2014-12-05 23:59:59.999989,3.5282238733742213e-06
2014-12-12 23:59:59.999989,2.1510008374988603e-06
2014-12-19 23:59:59.999989,-3.7727473568731916e-06
2014-12-26 23:59:59.999989,-2.947421672571085e-06
2015-01-02 23:59:59.999989,-5.116534777808462e-06
2015-01-09 23:59:59.999989,2.026525843905617e-06
2015-01-16 23:59:59.999989,8.170757040476293e-08
2015-01-23 23:59:59.999989,1.4176219656296152e-06
2015-01-30 23:59:59.999989,-1.6476485892785318e-06
2015-02-06 23:59:59.999989,-4.1722890237945495e-06
2015-02-13 23:59:59.999989,-3.345101548768786e-06
2015-02-20 23:59:59.999989,6.80848670371127e-06
2015-02-27 23:59:59.999989,-1.6224155219837864e-06
2015-03-06 23:59:59.999989,5.50721470032059e-07
2015-03-13 23:59:59.999989,-4.967541731480015e-06
2015-03-20 23:59:59.999989,-1.1354834454025278e-06
2015-03-27 23:59:59.999989,-2.859514608579775e-06
2015-04-02 23:59:59.999989,-1.5283388926563822e-06
2015-04-10 23:59:59.999989,4.7461036901613635e-07
2015-04-17 23:59:59.999989,-6.871667739961258e-06
2015-04-24 23:59:59.999989,-3.2819411852987948e-06
2015-05-01 23:59:59.999989,5.226596441911885e-07
2015-05-08 23:59:59.999989,-3.5813356251225173e-06
2015-05-15 23:59:59.999989,-6.586331634286655e-06
2015-05-22 23:59:59.999989,-6.019622903066641e-07
2015-05-29 23:59:59.999989,-6.749665866134913e-07
2015-06-05 23:59:59.999989,-6.085956569930143e-06
2015-06-12 23:59:59.999989,9.421705643023912e-07
2015-06-19 23:59:59.999989,9.596539080370018e-07
2015-06-26 23:59:59.999989,5.79696198412727e-06
2015-07-02 23:59:59.999989,-3.5969269792251295e-06
2015-07-10 23:59:59.999989,1.882717230333857e-06
2015-07-17 23:59:59.999989,3.1821617162646553e-06
2015-07-24 23:59:59.999989,-5.073460401041983e-06
2015-07-31 23:59:59.999989,1.2148555188394298e-06
2015-08-07 23:59:59.999989,-5.603458521715703e-07
2015-08-14 23:59:59.999989,-5.466424349542279e-06
2015-08-21 23:59:59.999989,3.388833846746662e-06
2015-08-28 23:59:59.999989,-4.9510162884408505e-06
2015-09-04 23:59:59.999989,-1.6335778556257961e-06
2015-09-11 23:59:59.999989,-3.148939783389406e-07
2015-09-18 23:59:59.999989,-6.27772184713395e-06
2015-09-25 23:59:59.999989,-4.5062779227115955e-06
2015-10-02 23:59:59.999989,2.091947676905994e-06
2015-10-09 23:59:59.999989,-7.670452363642279e-06
2015-10-16 23:59:59.999989,-6.901849676683581e-06
2015-10-23 23:59:59.999989,3.983128028430391e-06
