Spread/2 as a percentage of the price. 
 Date, Symbol, Spread(c) 
2014-02-28, FIBK, 0.013505498651201476
2014-02-28, ASRVP, 0.01768465238165515
2014-02-28, MBB, 0.0021152134365118227
2014-02-28, SEIC, 0.0
2014-02-28, RDCM, 0.0
2014-02-28, BREW, 0.005034444380398147
2014-02-28, OESX, 0.03897569006222498
2014-02-28, BBH, 0.004510135265838653
2014-02-28, ATNI, 0.01040540971309733
2014-02-28, SIEB, 0.019142137431199406
2014-02-28, PENN, 0.011963797765114846
2014-02-28, CWCO, 0.010117082780458708
2014-02-28, SIMO, 0.021073908272133034
2014-02-28, TOPS, 0.033975275715932056
2014-02-28, NBN, 0.017772411763904393
2014-02-28, SAVE, 0.017754925798441682
2014-02-28, VOXX, 0.0
2014-02-28, FORR, 0.005157005601098067
2014-02-28, EXPO, 0.009613182878799276
2014-02-28, USLM, 0.0
2014-02-28, VTWG, 0.007368922560186748
2014-02-28, DFVS, 0.0062955783317455265
2014-02-28, FCFS, 0.0
2014-02-28, IVAC, 0.0
2014-02-28, EWZS, 0.0
2014-02-28, HALL, 0.007534320660063825
2014-02-28, OTEL, 0.0
2014-02-28, SONA, 0.0074118269195025165
2014-02-28, HBP, 0.014427396110218604
2014-02-28, QUMU, 0.0
2014-02-28, MIND, 0.02540454199153664
2014-02-28, ICCC, 0.036787184983323604
2014-02-28, SCZ, 0.0
2014-02-28, HOLI, 0.02070917296437269
2014-02-28, JCTCF, 0.027939365165319124
2014-02-28, NVAX, 0.0
2014-02-28, ACWX, 0.0
2014-02-28, SOXX, 0.006843256821251687
2014-02-28, EDSA, 0.039975545451686634
2014-02-28, CMPR, 0.017312563587456798
2014-02-28, TRS, 0.011206262356894833
2014-02-28, BPOPN, 0.0
2014-02-28, PLXS, 0.011412098732177803
2014-02-28, OZK, 0.01185688155808916
2014-02-28, GALT, 0.062409329913026716
2014-02-28, UNTY, 0.008903429136986218
2014-02-28, STND, 0.007159839316487208
2014-02-28, ARLP, 0.0
2014-02-28, ONCY, 0.031595485895568626
2014-02-28, ARTW, 0.017225617865165986
2014-03-07, FIBK, 0.012427051078388233
2014-03-07, ASRVP, 0.01753126541066573
2014-03-07, MBB, 0.002199177888959493
2014-03-07, SEIC, 0.0
2014-03-07, RDCM, 0.0
2014-03-07, BREW, 0.005047907457350881
2014-03-07, OESX, 0.038364683368709074
2014-03-07, BBH, 0.003334570883466596
2014-03-07, ATNI, 0.008318285695563725
2014-03-07, SIEB, 0.016253122184327107
2014-03-07, PENN, 0.01168320572401873
2014-03-07, CWCO, 0.010202764371041208
2014-03-07, SIMO, 0.020921885015235824
2014-03-07, TOPS, 0.03272897115913216
2014-03-07, NBN, 0.018147510461277543
2014-03-07, SAVE, 0.017489362803976564
2014-03-07, VOXX, 0.0
2014-03-07, FORR, 0.0025036560284002994
2014-03-07, EXPO, 0.009527051850376427
2014-03-07, USLM, 0.0
2014-03-07, VTWG, 0.0070837569391777626
2014-03-07, DFVS, 0.006283180778033119
2014-03-07, FCFS, 0.0
2014-03-07, IVAC, 0.005558957297770471
2014-03-07, EWZS, 0.0
2014-03-07, HALL, 0.006334911409022668
