Date,Open,High,Low,Close,AdjClose,Volume
2017-09-22,36.450001,37.599998,36.349998,37.200001,37.200001,373600
2017-09-25,37.099998,38.650002,37.099998,37.5,37.5,418700
2017-09-26,37.450001,38.299999,37.400002,38.150002,38.150002,435600
2017-09-27,38.200001,39.5,38.200001,39.349998,39.349998,854200
2017-09-28,39.200001,39.700001,38.299999,38.700001,38.700001,616300
2017-09-29,38.849998,38.849998,37.450001,37.549999,37.549999,390700
2017-10-02,37.5,38.650002,37.200001,37.799999,37.799999,589400
2017-10-03,37.950001,38.450001,37.349998,37.450001,37.450001,486400
2017-10-04,37.349998,37.900002,36.049999,36.299999,36.299999,624700
2017-10-05,36.299999,37.549999,35.700001,36.950001,36.950001,962700
2017-10-06,36.700001,37.150002,35.75,36.549999,36.549999,830400
2017-10-09,36.700001,36.849998,35,35.049999,35.049999,627200
2017-10-10,35.150002,35.599998,34.25,34.950001,34.950001,507100
2017-10-11,34.799999,34.950001,33.950001,34.400002,34.400002,606300
2017-10-12,34.200001,34.540001,33.450001,34.200001,34.200001,694700
2017-10-13,34.049999,34.450001,33.75,34.25,34.25,747000
2017-10-16,34.200001,35.450001,34.200001,34.549999,34.549999,488300
2017-10-17,34.299999,34.599998,33.849998,34.200001,34.200001,703700
2017-10-18,34.25,34.799999,33,33.049999,33.049999,799700
2017-10-19,33,33.400002,32.650002,33.099998,33.099998,473600
2017-10-20,33.450001,33.900002,33.150002,33.5,33.5,481200
2017-10-23,33.450001,33.700001,32.900002,32.950001,32.950001,508400
2017-10-24,33.099998,33.900002,32.75,33.400002,33.400002,759000
2017-10-25,32.950001,33.150002,31.709999,31.85,31.85,861100
2017-10-26,30.25,32.75,29.809999,32.549999,32.549999,1392900
2017-10-27,32.650002,33.450001,32.349998,33.200001,33.200001,1067300
2017-10-30,31.85,33.5,31.5,33.150002,33.150002,1023800
2017-10-31,33,33.279999,31.85,32.049999,32.049999,1059300
2017-11-01,32.400002,33.299999,32.200001,32.599998,32.599998,797500
2017-11-02,32.700001,33.75,32.330002,33.049999,33.049999,824800
2017-11-03,33.799999,36.560001,33.75,36.099998,36.099998,1282000
2017-11-06,35.900002,37,35.799999,36.299999,36.299999,580900
2017-11-07,36.200001,36.200001,34.950001,35.049999,35.049999,970800
2017-11-08,39.5,43.599998,37.650002,41,41,2743900
2017-11-09,41.150002,41.299999,39.400002,40.150002,40.150002,978700
2017-11-10,39.849998,42.150002,39.68,42.049999,42.049999,787400
2017-11-13,41.650002,43.299999,41.200001,42.75,42.75,1183100
2017-11-14,42.400002,42.400002,38.330002,39.919998,39.919998,1638900
2017-11-15,39.25,39.25,37.799999,38.73,38.73,858700
2017-11-16,39.150002,40.049999,38.700001,39.5,39.5,643300
2017-11-17,39.400002,40.799999,39.25,40.25,40.25,716000
2017-11-20,40.5,42.349998,38.919998,42.200001,42.200001,1246400
2017-11-21,42.200001,42.950001,41.150002,42.650002,42.650002,730800
2017-11-22,43.25,45.450001,43,44.5,44.5,1010900
2017-11-24,44.700001,46.150002,44.599998,45.950001,45.950001,532700
2017-11-27,45.75,45.75,43.650002,44.950001,44.950001,801600
2017-11-28,45.400002,47.549999,45.049999,46.950001,46.950001,590700
2017-11-29,44.950001,46.5,44.450001,46.099998,46.099998,723800
2017-11-30,46.349998,46.950001,45.650002,46.200001,46.200001,455900
2017-12-01,46.150002,46.400002,43.799999,45.25,45.25,711300
2017-12-04,45.799999,46.299999,43.349998,43.950001,43.950001,784800
2017-12-05,43.849998,43.849998,42.650002,42.700001,42.700001,662300
2017-12-06,42.5,43.450001,41.299999,43.299999,43.299999,665800
2017-12-07,43.299999,44.599998,42.93,44.200001,44.200001,371500
2017-12-08,44.5,45.150002,43.799999,44.799999,44.799999,751900
2017-12-11,44.950001,45.400002,44.080002,44.200001,44.200001,446100
2017-12-12,44.299999,45.75,43.849998,45.349998,45.349998,404600
2017-12-13,45.5,46.200001,44.950001,45.799999,45.799999,412700
2017-12-14,45.75,46.25,44.25,44.700001,44.700001,298100
2017-12-15,44.849998,45.400002,43.549999,43.849998,43.849998,1480200
2017-12-18,44,44.400002,41.700001,42.549999,42.549999,866200
2017-12-19,42.650002,43.349998,40.950001,41.650002,41.650002,750500
2017-12-20,42.349998,43.849998,41.650002,42.849998,42.849998,946200
2017-12-21,43.049999,44.5,43.049999,43.549999,43.549999,382200
2017-12-22,43.400002,44.849998,43.25,44.150002,44.150002,371400
2017-12-26,44,45.5,43.450001,45.400002,45.400002,344900
2017-12-27,45.299999,45.849998,44.849998,45.099998,45.099998,317500
2017-12-28,45.349998,45.900002,44.150002,45.450001,45.450001,276800
2017-12-29,45.450001,46.200001,45.400002,45.650002,45.650002,589200
2018-01-02,45.650002,46.700001,45.549999,46.299999,46.299999,793100
2018-01-03,46.299999,47,45.799999,46.349998,46.349998,1064200
2018-01-04,47.450001,47.450001,41.950001,42.900002,42.900002,1920600
2018-01-05,42.799999,42.799999,41.25,42.450001,42.450001,752700
2018-01-08,42.5,43.200001,41.700001,42.700001,42.700001,521400
2018-01-09,42.700001,43.799999,42.650002,42.75,42.75,486000
2018-01-10,42.349998,42.349998,37.950001,41.5,41.5,1651900
2018-01-11,41.75,42.5,41.5,42.23,42.23,739400
2018-01-12,42.650002,43.150002,41.049999,41.5,41.5,1031800
2018-01-16,41.450001,41.849998,40.25,40.299999,40.299999,495300
2018-01-17,40.450001,40.900002,39.799999,40.299999,40.299999,514100
2018-01-18,40.099998,40.650002,39,39.099998,39.099998,706600
2018-01-19,39.400002,39.400002,37.5,38.75,38.75,1014100
2018-01-22,38.849998,39.700001,38.549999,39.349998,39.349998,782800
2018-01-23,39.299999,39.599998,38.849998,39.049999,39.049999,487000
2018-01-24,39,39.200001,38,38.950001,38.950001,621700
2018-01-25,39.099998,39.099998,38.049999,38.650002,38.650002,576000
2018-01-26,38.900002,40.400002,38.400002,40.200001,40.200001,826900
